Energy(MeV),Theta(deg),Phi(deg)
0,125.323,48.1457
0.0265504,116.44,27.9091
0,107.481,-35.3487
0.0193761,148.734,57.4178
0,142.357,83.903
0,15.6945,-103.77
0,40.3612,85.5381
0,163.65,-56.1716
0,80.7082,-46.3075
0.158532,37.6812,-55.7923
56.9281,131.06,-163.353
0,41.3093,-20.347
0,101.24,-116.953
0,31.9174,179.012
0,34.4697,75.4238
0.014835,102.883,-82.3985
1.16575,104.045,-102.618
1.32241,53.5586,26.7102
0,117.648,142.069
0.0877291,113.653,148.715
0,32.3985,155.875
0.193936,107.713,35.2995
3.68815,44.2349,21.4864
0,61.3866,140.937
0.829636,124.549,115.292
0,19.7336,-49.8135
1.39881,72.5748,102.642
0,58.5993,-16.9819
0.728929,87.2502,26.2044
1.40161,63.2215,60.5836
16.6375,66.642,-65.5099
0,89.7039,-175.413
0.679132,80.955,-110.628
0,34.1107,-28.9072
0,109.838,91.9234
0,53.8055,126.38
0.0906642,62.1964,114.652
0,110.713,-137.708
0.0209343,61.7592,-79.677
0,65.5995,-0.541102
0,119.832,-110.659
0,68.9353,122.162
0.124409,79.2749,102.653
1.86462,117.407,176.42
0,75.5367,-126.963
0,125.236,2.95943
0.118602,126.158,-119.419
0,55.9935,89.6297
0.104559,140.484,-74.2672
0,65.9209,-172.275
0,56.4988,63.4818
0,112.036,114.201
0,50.987,53.7922
0.334879,107.22,79.3432
0,81.7464,-146.056
0,19.1153,2.60179
0,110.992,36.007
0.259549,60.2414,-30.9399
0,60.539,148.551
0.0942758,63.2715,104.728
0,74.6299,162.266
0.466919,73.0047,-119.268
0,127.285,-148.192
0,172.074,90.4621
0,127.389,126.95
0,88.3667,-120.236
0.111439,60.8258,63.3062
0,141.627,-149.582
0.49667,121.364,165.46
0,58.1134,173.917
0,104.41,173.55
0.177228,162.74,-157.668
0,22.5142,-174.882
0,22.0807,-81.6265
0,116.212,71.6092
0.0366541,36.9174,-82.2346
0.317491,94.3606,-154.721
0,103.962,49.1506
0.0526297,105.421,-9.03195
1.05962,96.7005,145.397
0,63.2817,27.4823
0,64.8371,171.198
0,90.7118,157.767
0,34.6742,-69.9293
0.0702305,71.5763,-30.5532
0,91.8744,170.831
0.694779,78.1916,58.9923
0,22.3323,-82.6604
0,131.423,162.429
0,72.6413,-126.086
0.0551635,53.0628,165.042
86.8708,30.4348,-65.2228
0,63.4437,103.19
0,35.7685,21.7562
0.146256,117.76,139.9
0,75.2601,0.808314
0,117.885,-54.4471
0.106007,131.371,-156.384
0,124.541,-67.7507
0.169248,95.7214,51.1237
0.842314,60.6952,124.285
0,54.0803,48.5102
0.150619,72.5282,37.8444
0,126.522,119.416
0,80.9323,133.035
0,56.8863,16.1799
0,77.3686,-70.5794
0.0974476,58.284,170.579
0,82.2439,42.6124
0,175.169,61.5339
0.0734519,76.949,125.961
0,63.1523,-154.545
0,86.6482,-167.988
0.0203379,117.037,-125.076
0,102.962,62.2018
0,41.455,-16.5231
0.35683,136.417,-8.55845
0,81.8305,11.243
0,93.9878,37.4455
0.0913018,65.9769,125.147
0,164.121,63.0512
0.792666,149.695,-169.447
0,53.645,-26.7359
0.589444,63.155,4.06719
0,52.8532,-129.192
0.146636,78.1471,63.7801
0,56.9773,-109.722
0,138.037,3.29112
0.116113,159.058,-115.817
0,124.779,40.5119
2.32155,26.2414,123.513
5.92478,81.8128,73.9326
11.7517,77.5107,107.744
0,76.4999,171.793
0,26.2444,32.0256
0.122634,91.5525,165.938
157.163,47.066,93.9496
0,110.748,40.594
0,24.8521,110.126
0,131.805,145.843
0.0756965,100.698,-23.5511
0,107.242,115.581
0,130.631,-149.206
0.108065,44.4677,-52.0842
0,84.1752,-40.8186
0,171.818,-151.671
0,128.191,-166.075
0.158499,91.4452,0.847492
0,115.43,112.309
0.334125,36.237,110.159
0,73.1637,-62.4395
0,34.1626,132.706
0,147.634,-53.5238
0.828043,102.91,147.771
4.85714,81.5753,62.1226
0,33.7902,-145.585
0,28.8995,24.6824
0,67.887,36.0239
0.964707,92.9102,56.0365
1.35975,98.0534,-92.1136
0,7.85944,-149.117
0.0942434,78.1828,-173.589
0,94.7205,54.1148
0,31.5462,112.881
0,103.178,-85.1966
0,26.9294,102.599
1.29669,58.7409,159.878
0,160.51,102.765
0,131.816,58.9566
0,64.7833,7.81845
0.12936,125.923,163.948
0,114.774,-111.416
0,133.345,73.1982
0,84.1237,56.5839
0,89.1109,103.53
0.0424521,139.794,90.0653
0,92.6646,-7.42911
0,120.041,-100.481
0,57.9801,-71.34
0,106.315,104.729
0.170593,73.0484,-68.0271
1.1059,48.305,-91.6933
0,70.8481,-116.816
0.0537745,92.6833,19.1452
0,146.998,2.31621
0,165.208,107.551
0.543975,88.0628,-83.3156
0,108.635,35.2387
0.026322,89.2472,24.8509
0,117.824,-105.028
0,50.6531,-67.2274
0,43.4897,-93.5883
0.0853901,100.553,129.247
0,65.0372,-91.337
0,31.7326,-29.8614
0,22.2288,-126.29
0.0221975,59.8999,106.785
0,130.762,-172.115
0,87.4533,73.1845
0.0216225,117.721,-75.6339
0,154.495,-134.608
0,21.7988,26.8604
0,128.22,-21.6127
0,113.986,-116.188
0,98.502,-6.96566
0,108.725,136.135
0,78.9773,-107.819
0,43.6766,-83.682
0.453947,84.6233,14.0116
72.4008,80.4553,93.2642
0,168.943,19.1539
0,133.739,43.8136
0.691437,171.583,-51.9069
0,62.9757,-121.037
0.166561,49.6321,-55.5524
0,77.7129,157.326
0,61.5743,-148.863
0.0402294,84.8007,-88.3094
0,135.794,117.805
0,128.757,22.7065
0,122.062,-31.2184
0.56163,80.9575,-3.26027
0,64.126,-21.0785
0,87.4787,-177.569
0,28.9673,171.611
0,118.948,123.917
0,105.365,151.29
0,103.734,169.868
0,116.2,108.469
0,121.532,126.705
0,95.0701,-25.4416
0,97.1039,-44.5274
0.563576,58.7699,-17.7356
79.8472,69.3109,18.9634
0,130.134,121.198
0.0429339,88.0205,150.382
0,41.6499,-179.34
0.0722584,132.057,-97.8571
0,168.136,-157.897
0.439461,88.363,3.29427
0,84.1445,2.7294
0,68.8749,-89.9086
0.18858,79.4769,-151.456
0,53.9763,-111.792
0,14.8075,-134.944
0.0781294,95.4788,-34.5911
0.098139,158.233,46.6956
0,154.294,21.1861
0.0436122,119.395,-110.767
0.593274,71.6136,80.1764
0,166.067,165.16
0.0265317,94.2732,-169.681
0,70.7817,-147.095
0,81.4917,-112.934
0.173252,94.9506,-95.3752
0,87.0024,-153.175
0,90.8476,55.5753
0,49.6442,-97.7139
0.0737017,94.6345,175.159
0,138.622,-169.259
0.273717,93.6107,5.71465
0,78.4864,24.8798
0,99.285,-179.163
0,60.3452,-132.17
0.0466733,117.901,-37.1143
0,104.26,76.3761
0.524427,35.7347,142.122
0,138.606,44.192
0.355802,80.0673,-164.719
0,92.7507,-112.961
0,149.839,-36.4656
0.090133,78.5322,156.465
0,118.123,-162.831
0,120.978,-171.41
0,53.4418,178.807
0.163075,103.712,-179.589
2.54811,114.864,63.787
0,74.0162,162.243
0,89.1898,139.963
0,148.873,-148.967
0,50.4452,-160.06
0,102.857,-93.3153
0,108.281,-177.795
0.0903275,106.109,109.478
3.72058,81.6368,6.20492
9.20082,129.169,26.1573
0,69.6353,160.433
0,85.2565,118.466
0,123.278,168.744
0,63.9496,-166.016
0.0749252,119.42,104.17
0,111.255,-84.7216
0,152.157,-171.523
0,140.057,95.8853
0,125.097,-29.0037
0,145.416,108.338
0,93.0459,-156.563
0.253375,60.0531,174.302
0,134.724,98.0384
0,88.4501,115.684
0,136.027,141.745
0,101.942,152.073
0.0881853,79.7132,162.352
0,92.3634,156.127
0,106.23,-114.287
0,107.675,43.8397
0.0363561,77.2185,-75.0314
15.1215,107.69,28.7199
0,131.983,-30.908
0,117.906,-124.659
0.02926,73.9141,-34.5651
0,124.93,-133.583
0,92.5901,121.745
0.0814224,55.9584,151.058
0,138.125,-45.0429
0,73.3368,-162.891
0,114.818,120.953
0,88.163,-123.708
0,119.743,-127.671
0,142.133,-136.182
1.43742,140.987,-96.5837
0,67.5534,-139.295
0.335552,61.4382,-145.78
0,35.8547,79.8678
0,131.921,-178.872
0,92.1199,-169.822
0.360512,99.6317,-18.8885
0,115.633,-109.769
0,54.2664,-140.177
0.103633,60.7651,-107.469
0,127.386,104.139
0,102.537,73.1748
0.0827466,59.9826,65.2738
0,20.2393,173.854
0,110.377,-71.1268
0,16.1928,105.822
0,71.5909,-145.57
0.0749306,88.2689,35.9851
0,73.3358,-136.311
0,124.612,-53.7079
0.103485,78.478,-27.2237
0,152.16,-128.493
0,135.254,-169.07
0.142594,118.31,-13.449
0,49.8058,48.1859
0.678988,64.9017,-58.2189
0,34.7499,114.21
0,78.3643,46.3493
2.87227,76.6902,143.305
0,80.5885,104.296
0,121.604,158.096
0.092569,32.4172,-33.9706
0,133.944,157.881
0,132.408,-32.3603
0.183982,139.515,-163.914
0.0879009,87.236,22.005
0,57.9629,31.456
0,65.3126,-94.9683
0.0158618,100.889,-127.594
0,93.5554,106.349
0,72.5673,-163.844
0.122041,74.7762,157.659
0,54.3855,-21.7509
0,116.684,66.5739
0,68.7232,-29.2847
0.0561084,59.7031,-50.7673
2.13113,113.457,-24.9721
2.24801,63.4667,-58.9004
0,76.4795,-32.7295
0,151.172,-74.2717
0.280679,111.518,-5.20054
0,30.6422,-167.705
0.0890401,40.6683,156.068
0,75.2075,-66.123
0.435047,129.723,-98.5767
0,133.844,-151.959
0,19.3637,106.668
1.37282,71.3075,-109.047
0,68.6726,30.1142
0.961118,98.1917,58.2846
0,143.534,-153.367
0,20.3053,15.9669
0.11212,44.391,-45.0395
0,77.3972,-2.64606
0,61.5059,-16.2632
0.042305,101.768,124.041
3.00741,83.7401,71.246
0,136.571,108.329
1.33395,133.771,32.4087
0,62.1954,-56.6341
0,46.9368,129.772
0,55.8084,139.135
0,32.2785,-37.0216
0,115.918,41.8978
0,80.1929,91.5885
0.204388,51.6543,51.5002
0,112.556,-169.684
0,118.516,-113.149
0,102.925,96.8616
0,71.4436,-29.4995
0.276256,97.0204,-38.1258
0,136.047,113.839
0.249778,146.259,29.4217
2.11673,72.1594,-56.1147
0,113.011,43.6234
6.57184,65.7543,-120.295
0,32.293,79.3855
0,72.4491,-25.9109
0.260835,105.802,107.51
0,130.306,-78.6814
0.333533,92.1019,44.2238
2.78004,73.2277,33.6326
0.459394,89.0036,-90.5106
0,36.4762,-136.627
0,53.3774,-119.927
0.0657948,130.293,-175.321
0,29.806,-87.4431
0,56.2988,7.56459
0,98.6475,145.95
0.0748002,120.902,125.537
0,158.753,-63.3464
0.0895735,123.854,-61.9028
0,122.023,144.833
0.0937193,116.935,128.995
0,91.0621,161.899
0,37.795,-145.102
0.0962277,74.9388,86.7674
0,51.2005,176.305
0.208546,91.2194,-173.473
0,147.029,-99.9268
0.508094,84.5042,-36.43
0,99.0818,-145.215
0,37.7826,83.2118
0,143.588,-66.0122
0.0830416,142.571,-18.4244
0,118.958,-101.541
0,120.849,126.866
0,129.491,166.668
0,21.7085,-138.295
0,149.267,119.228
0.11644,75.3838,178
0,119.458,20.5547
0,41.0258,-161.968
0,87.7773,125.836
0.0926541,42.5253,155.707
0,121.375,7.11923
0,27.7489,-157.816
0,132.398,-105.522
0,40.8483,-135.811
1.10292,124.253,-95.4078
0,76.5259,-118.598
0,68.5703,-69.0928
0.149872,101.507,153.335
0,171.136,-98.4686
0.224227,101.402,-153.366
0.719409,129.382,-158.876
0,97.9196,23.4688
0,106.429,-25.744
0,37.1471,-2.6832
0.0387115,104.36,-56.7102
0,135.893,76.4072
0.256913,28.1797,66.3633
0,62.6751,75.6794
0,68.2562,47.3111
0,158.012,-102.366
0,67.1304,1.65814
0.258214,115.418,20.1431
0,8.40877,-130.803
0,39.0292,-139.232
0.337308,91.6943,173.61
0,114.315,-121.207
0,117.821,1.93072
0,104.82,33.3917
0,115.531,69.6913
0,85.6735,170.193
0.0286978,89.1566,154.29
0,78.1556,-63.9404
0.372338,81.6678,-104.226
0,109.651,33.8459
0,75.5127,-21.5162
0.401442,57.7191,55.7818
0,104.448,-154.186
0,93.7063,42.373
0.0145285,45.3892,150.155
0.348042,81.2334,136.576
0,61.6422,-22.1449
0,96.841,-120.34
0,140.283,40.6333
0.0374235,98.8783,7.56211
0,80.712,-164.014
0,77.3187,41.3201
0,62.2259,-160.822
0,131.686,-153.008
0,23.1376,23.1732
0.0387254,81.7587,-178.251
0,62.935,-23.8304
0,9.54964,115.114
0,8.62959,-66.7095
0,156.393,76.0921
0.136292,44.3041,37.1102
0,26.4756,-12.1759
0,137.297,72.0338
0,100.238,-166.185
0,49.6411,-98.0981
0.143863,135.958,-133.384
0,51.2675,114.915
0,159.615,-170.251
0.0543502,84.3171,111.742
0,79.1853,-105.317
0.30068,163.769,-99.6402
0,48.256,100.164
0,132.978,50.4837
0.0381085,92.5402,-66.7381
0,145.182,-41.6665
0.854433,43.2192,-157.046
117.341,32.9994,41.5599
0,126.757,-134.111
0.11953,150.116,170.114
0.512772,105.614,-40.2486
0,80.519,-22.8656
0,106.015,18.8966
0,70.6848,-142.898
0,75.9244,-66.5168
0,112.297,7.84599
0.181629,146.946,168.274
0,24.0126,127.032
0,83.1147,65.111
0.144124,175.521,164.358
0,52.3195,-177.357
0.376233,160.18,62.4646
0,121.602,178.065
0.0606012,165.516,-161.933
0,99.4807,-46.2051
0,101.436,-159.497
0.222904,124.852,70.0012
0,54.9541,122.071
0,32.2181,25.8239
0.0536698,82.4955,-15.7878
0,37.5442,-58.2293
0,31.5003,-93.0424
0.112856,89.0003,119.858
0.20797,33.5471,84.3878
0,149.187,-76.1368
0,103.175,-100.834
0.41561,129.452,-22.3653
0,90.8323,-164.495
0,34.1664,-7.01519
0.125427,54.0402,-108.105
0,65.434,-170.723
0,120.686,-108.427
0,29.6495,68.7554
0.0842428,90.1906,87.0516
0,78.4112,150.765
0,108.083,93.7132
0,16.7124,111.569
0,96.923,29.2851
0.0183084,144.413,16.8112
0.921391,136.39,-119.881
0,78.5643,-162.592
0.394909,113.305,29.8149
0,157.974,65.619
0.285437,146.488,67.9881
64.625,50.9235,58.2596
0,93.9331,-29.3604
0.524963,127.544,77.4639
2.05653,124.808,55.5717
2.25314,147.592,-11.9767
0,54.8746,148.082
0,48.8746,116.346
0,39.8399,-88.6776
0.0401696,108.972,177.608
0,78.6546,-18.3779
0,53.4274,-36.8184
0.735614,77.5276,113.404
0.974234,48.8091,41.0817
0.965143,85.4343,22.5534
0,49.9872,-24.2006
0.15171,160.082,-103.418
0,77.2172,99.8328
0,86.2466,-159.906
0.0568334,77.4463,34.1971
0,110.11,-92.2223
0,155.757,166.498
0.0886502,103.431,-75.8791
0,114.699,90.3843
0.403869,102.425,55.8553
6.57366,119.808,-163.259
0,58.7699,55.3562
0,169.971,167.504
0.0985979,109.458,-111.364
0,73.9765,-162.057
0.203804,134.806,38.4406
0,99.0963,-78.3343
0,135.189,-97.9349
0.087024,79.9735,-1.03194
0,150.847,-115.732
0.275692,89.783,-27.6098
0,103.892,-143.282
0.675443,49.8578,75.786
0,41.4998,134.144
0,4.17361,-152.537
0,67.8905,-100.56
0,116.88,157.592
0.0386218,131.319,-156.548
0,120.941,-115.582
0,46.408,-73.4016
0,69.1935,-40.2276
0,129.697,80.0873
0.0483858,116.428,45.1242
0,68.2487,-98.1756
0,89.4242,-90.5762
0.160209,123.094,97.266
0,14.2768,5.59992
0,116.375,82.1116
0.0691021,157.481,-114.722
0,87.2764,18.8637
0,113.185,-8.49029
0.117755,83.1359,22.2849
3.41423,95.3453,96.9435
0,146.554,162.274
0,127.997,-49.2459
0,115.104,45.8185
0,100.368,-63.9253
0.116718,136.331,-60.2286
0,66.4288,141.554
0,104.307,23.6311
63.2111,60.3773,7.68509
0,110.203,141.012
0,48.7023,-36.9468
0,43.5046,7.0713
0.0815887,117.496,-26.0661
0,7.03318,67.0265
0,92.4137,-166.037
0,127.656,-105.584
0,53.8893,-168.355
0.0703455,114.395,-164.412
0,98.022,-22.2856
0.245776,88.9147,-135.447
0,76.0527,-97.071
1.06237,51.0763,-145.165
0,82.3867,69.0942
0,107.537,46.5877
0,143.256,109.434
0,16.0919,-154.533
0,75.4461,89.1709
0.113819,110.958,-174.217
0.429361,84.4555,-122.918
0,101.45,-51.7919
0.00397751,81.3973,101.41
0,28.4403,21.8925
1.10064,157.718,-149.904
1.28188,80.5452,-47.969
1.67642,138.46,131.655
0,65.5249,-37.6647
0,80.8405,-1.15745
0,133.672,118.051
0.0236496,118.236,115.736
2.5598,140.518,164.888
2.62398,48.2006,157.341
0,86.0566,51.9631
0.19666,107.051,146.336
3.87391,68.6045,-170.77
4.77163,102.782,-152.051
0,153.731,106.234
0,144.912,45.995
0,46.1011,146.452
0.00491841,97.7222,160.726
0,83.5596,-36.6598
0.595593,38.8678,162.254
6.91406,113.304,-73.2498
0.786664,106.678,152.691
0,86.7861,21.0692
0,113.16,-17.315
0,54.7983,79.8279
0.570496,77.9352,-47.0407
0,107.342,-126.938
0,160.536,-113.489
0.144489,100.598,165.271
0,120.864,-22.6886
0,32.0037,55.0364
0,146.318,6.13704
0.0895968,70.0991,-35.6204
0,122.711,50.094
0.592964,118.716,41.4997
0,129.468,32.2634
0,104.948,-161.569
0.471776,51.1104,144.437
0,100.736,172.563
0,34.9024,124.582
0.123654,62.8172,67.7593
0,74.0072,80.4554
0,154.01,20.513
0,43.5927,-98.2211
0.0251169,87.1738,-73.5519
0,141.857,-29.013
0,130.719,85.3945
0,135.941,133.856
0,103.103,94.8178
0,66.3811,-28.4472
0.0914063,145.032,-135.095
0,73.004,-43.0629
0,136.206,167.579
0,78.6714,177.129
0,104.325,47.125
0,92.2028,126.049
0,154.549,-50.3263
0,67.386,174.228
0.131367,66.7597,-118.055
0,61.6129,79.71
0,87.2494,86.1139
0,79.6117,144.899
0.336622,86.6911,0.851879
0,84.3879,0.599115
0.0686629,114.173,41.3643
0,98.0568,-68.9981
0.0554718,86.4665,-71.3612
0,80.643,22.6015
0.59341,76.4744,108.636
0,155.816,163.6
0,110.761,76.403
0,62.9242,-109.526
0,159.216,-33.756
0,92.7938,-156.857
0,118.085,-163.992
0,163.21,1.07814
0.373816,117.123,-143.681
0,43.9632,135.608
0.313482,69.2225,120.918
0,112.602,-136.585
0,114.828,-117.938
0.146094,64.8248,-126.709
5.19732,99.7536,140.012
0,28.8169,174.163
0,129.271,16.5463
0,107.351,64.8843
0,133.618,-177.665
0.0424039,50.5448,45.7623
0,124.821,86.5824
0.887346,110.362,75.5713
0,138.698,-179.316
0,152.819,125.531
0,42.2269,101.317
0,102.979,55.7399
0.181659,88.1425,19.265
0,127.52,-21.2835
0,103.517,-34.1228
0.416694,76.3086,-4.60493
14.9998,148.859,-178.383
0,142.928,-168.232
2.29526,65.9809,117.723
0,104.77,161.678
0.393996,77.6634,80.9693
0,46.317,-109.186
0.340582,127.493,-98.0464
0,95.8227,-150.423
0.0687154,119.412,-52.6425
0,80.5162,-135.626
0,110.135,-19.4119
0.191692,63.8495,-162.691
2.03194,68.8752,39.6021
0,45.6298,96.8193
0,108.28,-18.0535
0,78.6972,168.141
0,137.102,83.4485
0.132911,57.3951,82.2306
0,53.4198,70.4826
0.316279,107.339,119.208
5.28876,41.2206,134.626
59.9234,47.6395,117.593
0.857103,150.969,-88.4052
0,35.8783,-57.2394
0,105.643,44.5609
0.136807,72.2792,32.6794
1.56808,118.618,-14.6978
0,149.367,16.7045
0,79.0407,-115.355
0.108556,53.7112,105.315
0,36.8207,66.4715
0,116.989,145.768
0.0581586,83.6636,67.3075
0,70.7212,24.8802
0.760373,79.0912,162.948
4.06604,69.6861,66.0697
0,116.077,-144.675
0,55.974,171.721
0.0408883,115.867,17.9201
0,39.3498,72.8524
0.848557,122.245,0.435412
4.79619,148.342,-48.7758
5.19424,128.622,57.602
0,79.106,-163.308
0,40.9209,-76.9653
0,59.686,6.17789
0.144518,39.7587,-104.729
0,124.148,-79.8027
0,90.3593,36.4272
0,62.2239,-155.174
0,18.691,7.03367
0,38.6528,-80.169
0,118.18,147.072
0.322016,133.762,-40.057
65.6488,151.48,172.07
80.6452,81.3413,24.1002
105.158,40.4248,117.113
0,34.0789,175.93
0.618256,81.2837,-131.161
0,81.0418,53.2168
0.112006,102.948,89.2447
0.74501,70.8942,144.604
0,47.9629,8.4534
0.215736,62.7974,-165.478
0,85.7754,-0.976651
0,137.783,45.0604
0,67.9137,-12.3676
0,68.1319,77.7157
0,105.075,41.2109
0.346966,134.684,84.0365
44.7273,28.0114,-68.9963
0,55.9658,-124.884
0,58.5851,153.956
0.140078,155.921,-162.535
0,43.2416,75.7232
0,111.811,-107.933
0,133.147,114.961
0,92.4748,153.432
3.17051,131.367,-84.9793
14.6195,94.0472,160.143
0,68.5782,-85.0966
0,43.5524,49.8994
0.133121,78.1015,-160.645
0,124.585,95.3086
0.0914527,108.176,127.938
1.31133,104.931,113.266
30.3648,69.5796,-109.038
95.0899,59.5548,-128.448
0.130447,76.5517,90.966
0.498994,104.521,-89.1671
0,32.0794,-157.731
0.242717,105.671,-52.2438
0,57.49,-30.3386
0.193284,99.9538,-160.696
0,34.7169,167.288
0,135.581,167.197
0,134.84,-77.3021
0,64.5531,24.0688
0.0862351,69.7968,4.348
0,87.3775,27.1774
0,33.3342,-111.984
0.342906,119.343,-178.479
0,56.9858,-53.4389
0.215341,45.4107,142.291
0,145.089,-38.073
0.728181,71.379,-66.6844
0,113.12,121.496
0,132.471,-163.501
0.015561,102.129,112.655
0,73.6632,1.16957
0.0365505,55.2826,71.2341
0,146.323,-144.941
0,106.15,79.3108
0.141647,144.866,-13.7031
0,124.941,35.3389
0.136903,74.1273,125.043
0,93.5625,-160.013
0.0645531,80.5875,-127.886
0,30.674,-108.032
0,113.918,-137.027
0,45.0159,23.8497
0.0396158,122.673,-11.3433
0,104.91,86.4809
0,96.1174,-173.445
0,124.658,-103.92
0,74.482,-149.796
0,85.4021,-140.004
0.408386,121.347,-70.7158
0,99.9545,170.247
0,68.4938,47.4707
0.241818,69.8026,-48.2724
0,145.413,60.4403
0,79.4217,15.6148
0.286663,95.5859,-26.5769
0,120.387,-59.7403
0.253176,120.741,-116.836
0,9.33612,-136.712
0,83.8856,127.477
0,48.3907,3.96632
0,143.805,9.40198
0,127.354,21.9713
0,120.424,-64.4947
0,46.9134,130.991
0,102.539,-122.217
0,64.3051,-117.701
0,68.1813,-75.3194
0,155.131,-125.014
0.0438986,116.367,-96.866
0,103.111,-62.2519
0,100.808,-17.5798
0,45.8725,52.7391
0,128.706,34.837
92.9793,92.4877,148.662
0,50.209,-152.171
0,168.829,63.6668
0.0817185,101.027,-57.0981
0,135.57,100.591
0.214409,83.1668,130.715
0,104.783,-52.3586
0.163997,73.058,60.597
0,43.7278,-34.1302
0,79.0731,103.515
0,170.011,93.5462
0,25.8923,37.8258
0.385477,40.0738,46.9463
0,93.5422,-8.81105
0,81.3426,17.3359
0.0243292,115.621,66.4329
0,116.09,61.8147
0,99.2051,138.99
0,69.6844,-25.6664
0,74.8887,21.504
0.243304,94.7126,165.34
0,107.361,-72.8435
0,123.053,120.731
0.267656,50.611,19.1307
0,81.8182,3.48727
0,126.12,177.302
0,44.3245,179.078
0.510556,106.565,-43.4962
0.856293,109.978,107.563
0,93.2296,39.9636
0,79.9792,78.8839
0.0233748,72.1894,-103.758
0,158.565,51.973
0.224552,130.93,37.0514
0,66.3167,146.882
0.229164,65.0179,-98.628
1.43275,140.353,-92.9095
0,94.606,-39.7502
0.82449,109.789,-39.1449
4.11367,59.5259,-86.3631
6.00894,109.68,17.6659
0,46.8211,-143.69
1.94625,57.9602,-120.051
0,54.0673,92.5614
0,83.2454,15.9638
0,36.1601,-77.9167
0.166806,47.4965,175.228
8.5376,112.932,33.264
9.77498,51.4663,-168.747
0,83.2284,79.1561
0.524749,97.9059,-72.5211
0,21.3624,5.72057
0,91.2599,134.539
0,151.327,-168.938
0,53.4027,-8.21076
0.214134,93.4871,141.081
1.43418,131.858,-76.701
0,70.2336,25.4659
0.611313,165.636,-131.924
0,137.776,26.7949
0.0317288,161.687,-120.025
0,35.5588,100.838
0,106.021,-79.8979
0,42.9071,35.0346
0,74.8622,116.332
0,42.5545,26.7569
2.02952,158.391,22.1672
2.14786,165.366,-72.0514
0,126.954,103.403
0,50.5493,-11.8027
0.0804133,68.2634,-131.791
0,160.292,-140.631
0.263684,116.409,154.478
0,43.51,-106.462
2.82659,156.438,-71.2402
0,117.985,129.544
0.05537,117.079,116.755
0,30.5334,-46.5206
0,79.1023,-163.494
0.0763728,164.514,119.716
0,69.7427,-165.441
0,150.67,45.1235
0.0964849,154.188,-5.63186
0,54.1625,83.4801
0,19.7124,51.4455
0.0889079,106.057,-74.2677
0,14.3182,-80.0228
0.098236,61.9595,75.3707
0,147.513,138.518
0.0708464,94.5648,-173.07
0,41.8367,-26.99
1.27175,98.2976,-18.7164
0,70.8805,4.86399
0.637895,118.99,-75.9856
0,155.129,-6.18257
0,104.473,-26.8795
0.175107,119.967,-39.4115
0,77.2642,-39.5344
0,84.1248,137.561
0.105379,56.9949,-27.7432
11.5596,77.4361,114.26
0,34.2082,-139.957
0.487619,129.549,-90.5428
0,133.839,-0.159353
0,123.978,27.0392
0.0957263,166.552,65.5002
0,168.937,129.004
0.0753135,109.2,82.2125
0.767306,146.512,35.2057
0.86921,129.085,-64.7586
0.170079,86.3605,-73.485
0.447058,163.211,-154.053
0,51.5069,-72.1915
0,74.7993,-120.138
0,77.5175,49.6442
0.32389,113.662,0.121794
0,63.812,93.8525
0,121.656,-139.06
0.0135707,134.552,-92.5823
0,9.32367,-37.9996
0,59.8321,2.48943
0,112.174,128.693
0.0645254,84.6799,-57.6111
0,124.287,-12.5992
0,79.9027,24.9969
0,73.475,103.192
0,126.941,7.76157
0,48.4117,-141.15
0,65.2684,-13.9806
0,105.677,0.139717
0.0383075,160.831,171.015
0.152142,118.054,-158.674
0,110.101,-35.8237
0,150.209,-116.666
0.0564578,43.8156,-78.4653
0,112.274,-119.826
0,95.5082,24.1423
0.569376,96.4614,64.1739
0,47.6139,-125.462
0,49.515,14.8344
0,118.265,53.7389
0,75.1242,-38.0612
0.0642161,86.0857,102.812
3.16821,126.008,-4.20742
0,89.9315,6.35618
0.985703,132.916,84.6068
0,83.3871,70.0327
0.205715,77.78,-41.9321
0.617377,73.9471,130.688
0,25.117,-178.36
0,148.975,-82.2723
0.0381178,65.5447,117.286
0,62.8219,136.972
0.104727,108.558,3.30453
0,105.304,142.014
0.0690639,125.265,-5.98699
1.73097,90.5146,-109.906
0,48.506,39.4304
0,121.3,158.773
0,45.7929,-132.091
0,107.807,163.268
0,93.0092,26.0424
0,127.562,-71.9708
0,105.667,-171.439
0.091386,109.714,-108.191
0,138.624,119.236
0.153231,101.739,-112.504
59.0134,142.716,-114.453
0.218872,165.71,152.296
0,25.0018,-162.412
0,142.091,103.403
0.615188,155.136,-42.326
0,119.685,-145.406
0,100.807,42.9441
0,115.025,39.1721
0,123.751,-27.2533
0.393571,126.326,-170.031
1.20673,124.692,5.34094
1.71251,149.646,-18.5787
0,55.0614,-115.784
0.128365,155.35,-119.611
0,70.5973,-92.5828
0,100.779,-152.174
0.141651,40.4633,8.88482
0,72.9447,-21.8883
0.752054,114.966,88.059
0,54.2638,122.157
0,46.9687,152.283
0.0439893,76.8211,-166.526
5.70966,141.608,21.9696
6.78658,100.392,118.346
0,45.869,2.13371
0,65.4708,-56.8903
0.213211,124.427,9.26727
0,53.3298,-24.0545
0.31442,150.791,-155.085
0,34.5297,-53.7454
0.135613,169.099,-12.991
29.8149,92.3166,159.306
0,62.8014,-160.603
0,46.4882,131.93
0,124.409,51.6958
0,14.2934,-139.155
